Operating Airline IATA Code,Passenger Count
4T,312.625
5Y,34.0
9W,4280.3125
A8,5.0
AA,127164.38970588235
AB,2320.75
AC,18251.560109289618
AF,11589.077519379845
AI,2834.5
AM,5463.822222222222
AS,17251.637816245006
B6,35261.13963963964
BA,17625.124031007752
BBB,689.3333333333334
BR,13116.356589147286
CA,6618.335907335907
CI,9857.51550387597
CM,3418.0714285714284
CP,23358.55681818182
CX,17121.325581395347
CZ,4321.4375
DH,6391.3
DL,68498.49740932643
EI,4407.183673469388
EK,9070.866666666667
EV,2176.909090909091
EY,6476.088235294118
EZ,2.0
F9,17787.676923076924
FI,2799.7
FL,10569.238938053097
G4,1516.8125
GL,107.375
HA,8282.186046511628
JL,6470.332046332046
KE,5678.461240310077
KL,9221.813953488372
LH,19301.96511627907
LP,2786.011111111111
LX,6061.640287769784
MQ,4006.5283018867926
MU,5498.402777777777
MX,7993.806451612903
NH,6385.523255813953
NK,2921.0416666666665
NW,26109.25
NZ,7452.339768339768
OO,37083.83904465213
OZ,5902.961240310077
PR,10248.635658914729
QF,4991.2164179104475
QK,294.2142857142857
QX,5577.583333333333
RW,2452.5
SE,2223.1612903225805
SK,5865.847222222223
SQ,14746.647286821706
SY,3992.652
TA,5066.197674418605
TK,8162.416666666667
TZ,8744.636363636364
UA,55889.99113591595
US ,55317.81578947369
VS,9847.10465116279
VX,74405.35359116022
WN,81188.15857605178
WO,261.6666666666667
WS,5338.155339805825
XE,5631.84375
XJ,2864.7272727272725
XP,73.0
YV,3710.5811965811968
YX,3883.0
